2021-06-30 18:06:672 INFO  OpenAccountPage :34 - Click ON Process Button : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //button[contains(text(),'Process')]]
2021-06-30 18:06:854 INFO  HomePage :24 - Clicking on Home Page : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //button[contains(text(),'Home')]]
2021-06-30 18:06:929 INFO  HomePage :29 - Clicking on Customer Log In Link : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //button[contains(text(),'Customer Login')]]
2021-06-30 18:06:82 INFO  OpenAccountPage :25 - Enter Customer Name : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //select[@id='userSelect']]
2021-06-30 18:06:156 INFO  CustomerLoginPage :31 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //button[contains(text(),'Login')]]
2021-06-30 18:06:228 INFO  AccountPage :30 - Clicking on Deposite Tab : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //button[@ng-click='deposit()']]
2021-06-30 18:06:318 INFO  AccountPage :34 - Enter YourName : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //input[@placeholder= 'amount']]
2021-06-30 18:06:404 INFO  AccountPage :38 - Clicking on Deposite Button : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //button[text()='Deposit']]
2021-06-30 18:06:433 INFO  AccountPage :41 - Verify Deposite Text : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //span[contains(text(),'Deposit Successful')]]
2021-06-30 18:06:532 INFO  HomePage :24 - Clicking on Home Page : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //button[contains(text(),'Home')]]
2021-06-30 18:06:641 INFO  HomePage :29 - Clicking on Customer Log In Link : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Customer Login')]'
2021-06-30 18:06:800 INFO  OpenAccountPage :25 - Enter Customer Name : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //select[@id='userSelect']]
2021-06-30 18:06:896 INFO  CustomerLoginPage :31 - Clicking on Login Button : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Login')]'
2021-06-30 18:06:974 INFO  AccountPage :46 - Clicking on Withdrawl Tab : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //button[@ng-click='withdrawl()']]
2021-06-30 18:06:66 INFO  AccountPage :34 - Enter YourName : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //input[@placeholder= 'amount']]
2021-06-30 18:06:146 INFO  AccountPage :50 - Clicking on Withdrawl Button : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[4]/div[1]/form[1]/button[1]]
2021-06-30 18:06:177 INFO  AccountPage :53 - Verify Withdrawl Text : [[ChromeDriver: chrome on WINDOWS (f71aab7864f2b7ff2673d9ba078d248e)] -> xpath: //span[contains(text(),'Transaction successful')]]
